City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Grindavik,IS,63.8424,-22.4338,45.07,100,100,12.66,moderate rain
80,Salta,AR,-24.7859,-65.4117,57.79,58,75,5.75,broken clouds
81,Emporia,US,38.4039,-96.1817,52.52,43,14,1.63,few clouds
82,Castlemaine,AU,-37.0667,144.2167,65.05,58,23,10.25,few clouds
83,Trincomalee,LK,8.5711,81.2335,78.96,83,62,7.27,broken clouds
84,Kailua,US,21.4022,-157.7394,80.01,72,9,8.01,clear sky
85,Ayan,RU,56.45,138.1667,29.1,71,15,5.82,few clouds
86,Vardo,NO,70.3705,31.1107,27.99,71,100,8.66,overcast clouds
87,Nome,US,64.5011,-165.4064,21.16,50,0,3.22,clear sky
88,Kavieng,PG,-2.5744,150.7967,81.41,78,85,11.74,overcast clouds
89,Bredasdorp,ZA,-34.5322,20.0403,59.77,81,43,6.51,scattered clouds
90,Hobart,AU,-42.8794,147.3294,61.27,73,100,8.05,overcast clouds
91,Georgetown,MY,5.4112,100.3354,80.53,93,20,5.01,few clouds
92,Taoudenni,ML,22.6783,-3.9836,81.25,11,0,6.67,clear sky
93,Taseyevo,RU,57.2169,94.8978,19.29,90,51,4.29,broken clouds
94,Vitre,FR,48.1178,-1.2058,32.88,80,1,7.87,clear sky
95,Cape Town,ZA,-33.9258,18.4232,63.01,75,0,9.22,clear sky
96,Pec,XK,42.6591,20.2883,33.12,89,24,4.38,few clouds
97,Lebu,CL,-37.6167,-73.65,53.78,80,86,16.4,overcast clouds
98,Qui Nhon,VN,13.7667,109.2333,73.04,88,100,25.46,overcast clouds
99,Birjand,IR,32.8663,59.2211,46.87,25,0,6.91,clear sky
100,Upernavik,GL,72.7868,-56.1549,7.12,98,98,10.8,overcast clouds
101,Scarborough,GB,54.2797,-0.4044,35.65,89,37,1.99,scattered clouds
102,Chokurdakh,RU,70.6333,147.9167,1.42,91,30,4.72,scattered clouds
103,Eenhana,NA,-17.4667,16.3333,66.24,92,100,3.2,light rain
104,Saint-Augustin,CA,51.226,-58.6502,32.76,97,100,15.93,snow
105,Hasaki,JP,35.7333,140.8333,52.29,57,100,14.81,light rain
106,Pathein,MM,16.7833,94.7333,80.33,77,100,3.69,overcast clouds
107,Rocha,UY,-34.4833,-54.3333,54.64,92,0,7.56,clear sky
108,Vilyuysk,RU,63.7553,121.6247,14.43,88,97,4.16,overcast clouds
109,Port Lincoln,AU,-34.7333,135.8667,65.55,64,3,6.93,clear sky
110,Roma,US,43.2128,-75.4557,38.52,61,100,1.01,overcast clouds
111,Neuquen,AR,-38.9516,-68.0591,75.09,35,0,5.75,clear sky
112,Tiarei,PF,-17.5333,-149.3333,87.82,79,93,11.27,light rain
113,Ribeira Grande,PT,38.5167,-28.7,59.9,74,100,19.51,overcast clouds
114,Akdepe,TM,42.0551,59.3788,59.09,29,9,12.08,clear sky
115,Severo-Kurilsk,RU,50.6789,156.125,30.02,70,100,27.13,overcast clouds
116,Jamestown,US,42.097,-79.2353,40.51,60,0,6.91,clear sky
117,Soe,ID,-9.8607,124.284,76.08,55,76,2.44,broken clouds
118,Anloga,GH,5.7947,0.8973,82.11,83,100,12.66,overcast clouds
119,Rize,TR,40.9044,40.8949,41.0,57,100,11.48,overcast clouds
120,Mogok,MM,22.9167,96.5,66.9,71,20,2.48,few clouds
121,Lishui,CN,28.4604,119.9103,57.92,55,0,1.99,clear sky
